COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
K950A,"Reparaciones y refacciones para mantenimiento corriente (millones de pesos): Comprende los gastos por servicios de terceros por la reparación y mantenimiento corriente de los activos fijos de la unidad económica, así como por el consumo de refacciones y partes empleadas en aquellas reparaciones realizadas por el propio establecimiento en los activos fijos de su propiedad. Excluye las partes y refacciones empleadas en la producción o reparaciones mayores de los activos fijos propios.",Decimal,"15,3",0-999999999999999.999,
K976A,"Consumo de agua (millones de pesos): Es el importe por el consumo de agua suministrada por la red municipal o por pipas, ya sea para el consumo humano o empleada en el proceso productivo.",Decimal,"15,3",0-999999999999999.999,
M000A,"Total de ingresos por suministro de bienes y servicios (millones de pesos): Es el monto que obtuvo la unidad económica durante el periodo de referencia, por todas aquellas actividades de producción de bienes, comercialización de mercancías y prestación de servicios. Incluye el valor de los bienes y servicios transferidos a otras unidades económicas de la misma empresa, más todas las erogaciones o impuestos cobrados al comprador. Excluye los ingresos financieros, subsidios, cuotas, aportaciones y venta de activos fijos.",Decimal,"15,3",0-999999999999999.999,
M010A,"Ingresos por la reventa de mercancías y bienes (millones de pesos): Son los ingresos a valor de venta que obtuvo la unidad económica por la compra-venta de mercancías y bienes en el mismo estado en que los recibió, así como los ingresos obtenidos por la venta de gas a los usuarios.",Decimal,"15,3",0-999999999999999.999,
M020A,"Ingresos por la prestación de servicios profesionales, científicos y técnicos (millones de pesos): Son los ingresos a valor de venta que obtuvo la unidad económica por la prestación de sus servicios profesionales o técnicos que constituyen su actividad normal; comprende los ingresos obtenidos por el servicio de transporte de pasajeros, de carga, de mensajería y paquetería; el transporte de energía eléctrica; por servicios de distribución y comercialización de gas natural, el transporte por ductos; por servicios de exploración minera, así como los obtenidos por servicios de asesoría financiera y de publicidad.",Decimal,"15,3",0-999999999999999.999,
M030A,"Venta de productos elaborados, generados o extraídos (millones de pesos): Son los ingresos obtenidos por la venta de la producción efectuada durante el periodo o en periodos anteriores. Comprende los ingresos por la venta de energía eléctrica generada, por el suministro de agua potable para el uso doméstico, comercial, industrial y de servicios públicos, por la venta de agua tratada y la distribución de agua en pipas; los ingresos por la ejecución de obras como contratista principal y subcontratista, por la administración y supervisión de obras, por la venta de petróleo crudo, gas natural y condensados, por ventas de minerales extraídos y beneficiados, los minerales extraídos sin beneficio y por la producción pesquera o acuícola.",Decimal,"15,3",0-999999999999999.999,
M050A,"Ingresos por alquiler de bienes muebles e inmuebles (millones de pesos): Son los ingresos a valor de venta por la cesión temporal a otra razón social del derecho de uso o disfrute de los bienes muebles (maquinaria, equipo, mobiliario, etc.) e inmuebles (locales, terrenos, edificios, etc.) de su propiedad.",Decimal,"15,3",0-999999999999999.999,
M090A,"Otros ingresos por suministro de bienes y servicios (millones de pesos): Son los ingresos obtenidos por regalías y servicios de almacenaje, así como otros conceptos no considerados anteriormente.",Decimal,"15,3",0-999999999999999.999,
M091A,"Otros componentes de la Producción (millones de pesos): Es el valor de los otros componentes de la Producción Bruta Total que complementan la producción, como las regalías y otros servicios, incluidos los intereses, dividendos, ingresos por cambios y otros ingresos netos de las organizaciones financieras y corporativas.",Decimal,"15,3",0-999999999999999.999,
M700A,"Ingresos por maquilar o transformar materias primas propiedad de terceros (millones de pesos): Son los ingresos obtenidos por la unidad económica por la fabricación, ensamble u otro tipo de transformación de las materias primas propiedad de terceros. Incluye los ingresos por la transformación de insumos importados temporalmente que fueron transferidos a la unidad económica. Excluye el valor de los insumos consumidos.",Decimal,"15,3",0-999999999999999.999,
O010A,"Valor de productos elaborados, bienes generados y extraídos (millones de pesos): Es el valor de los bienes que transformó, procesó o benefició la unidad económica durante el periodo de referencia, con fines de lucro o no. Incluye la producción defectuosa y los productos maquilados por otra razón social para la unidad económica, así como el valor de la energía eléctrica generada, del agua suministrada, de las obras de construcción realizadas como contratista principal y subcontratista; el valor del petróleo crudo, del gas natural, de los condensados, de los minerales extraídos y beneficiados y de la producción pesquera o acuícola.",Decimal,"15,3",0-999999999999999.999,
O020A,"Activos fijos producidos para uso propio (millones de pesos): Es el valor de la producción de los bienes muebles e inmuebles, o las mejoras que aumentan su productividad o vida útil. Siempre que hayan sido realizadas por la unidad económica con recursos y personal propios, para ser utilizados en la producción y operación de la unidad económica. Valorados de acuerdo a la cantidad de materiales y mano de obra utilizada durante el periodo.",Decimal,"15,3",0-999999999999999.999,
P000A,"Total de inventario inicial (millones de pesos) : Es el valor en libros (saldo en el inventario inicial) de los bienes que no habían sido terminados, consumidos o vendidos, así como los productos terminados que se encontraban formando parte de sus inventarios en almacén, lugares de exhibición o venta durante las fechas señaladas, independientemente del periodo en que hayan sido producidos o adquiridos. Excluye los activos fijos.",Decimal,"15,3",0-999999999999999.999,
P000B,"Total de inventario final (millones de pesos) : Es el valor en libros (saldo en el inventario final) de los bienes que no habían sido terminados, consumidos o vendidos, así como los productos terminados que se encontraban formando parte de sus inventarios en almacén, lugares de exhibición o venta durante las fechas señaladas, independientemente del periodo en que hayan sido producidos o adquiridos. Excluye los activos fijos.",Decimal,"15,3",0-999999999999999.999,
P000C,"Variación total de existencias (millones de pesos) : Es la diferencia entre el valor en libros, al final del periodo de estudio, de los productos terminados, bienes en proceso de elaboración e insumos propiedad de la unidad económica, respecto del valor de los productos terminados, bienes en proceso de elaboración e insumos que tenía al inicio del periodo. Excluye los activos fijos.",Decimal,"15,3",0-999999999999999.999,
P030A,"Total de inventario inicial de productos en proceso (millones de pesos): Es el valor en libros (saldo en el inventario inicial) de los productos que estaban en proceso de producción, durante las fechas señaladas. Incluye los productos enviados a maquila que no se habían recibido, los minerales extraídos, explotados y comprados los que no habían sido beneficiados.",Decimal,"15,3",0-999999999999999.999,
P030B,"Total de inventario final de productos en proceso (millones de pesos): Es el valor en libros (saldo en el inventario final) de los productos que estaban en proceso de producción, durante las fechas señaladas. Incluye los productos enviados a maquila que no se habían recibido, los minerales extraídos, explotados y comprados los que no habían sido beneficiados.",Decimal,"15,3",0-999999999999999.999,
P030C,"Variación de inventarios de productos en proceso (millones de pesos): Es la diferencia entre el valor en libros, al final del periodo de estudio, de los productos en proceso de elaboración, respecto del valor de los bienes en proceso que tenía al inicio del periodo. Excluye los activos fijos.",Decimal,"15,3",0-999999999999999.999,
P100A,"Total de inventario inicial de mercancías compradas para reventa (millones de pesos): Es el valor en libros (saldo en el inventario inicial) de las mercancías compradas para su reventa, propiedad de la unidad económica, que se encontraban formando parte de sus inventarios durante las fechas señaladas, independientemente del periodo en que fueron adquiridas. Incluye las mercancías compradas para su reventa que no habían sido vendidas y que fueron enviadas a terceros para su venta a consignación; así como las que se recibieron de otras unidades económicas de la misma empresa. Excluye las mercancías que se recibieron en consignación y aún no se vendían, y las que se mandaron a otras unidades económicas de la misma empresa.",Decimal,"15,3",0-999999999999999.999,
P100B,"Total de inventario final de mercancías compradas para reventa (millones de pesos): Es el valor en libros (saldo en el inventario final) de las mercancías compradas para su reventa, propiedad de la unidad económica, que se encontraban formando parte de sus inventarios durante las fechas señaladas, independientemente del periodo en que fueron adquiridas. Incluye las mercancías compradas para su reventa que no habían sido vendidas y que fueron enviadas a terceros para su venta a consignación; así como las que se recibieron de otras unidades económicas de la misma empresa. Excluye las mercancías que se recibieron en consignación y aún no se vendían, y las que se mandaron a otras unidades económicas de la misma empresa.",Decimal,"15,3",0-999999999999999.999,
Q000A,"Acervo total de activos fijos (millones de pesos): Es el valor actualizado de todos aquellos bienes, propiedad de la unidad económica –cuya vida útil es superior a un año– que tienen la capacidad de producir o proporcionar las condiciones necesarias para la generación de bienes y servicios. Incluye los activos fijos propiedad de la unidad económica alquilados a terceros; los que utiliza normalmente, aun cuando sean asignados temporalmente a otras unidades económicas de la misma empresa; los que produce de la unidad económica para uso propio y los activos fijos que obtuvo en arrendamiento financiero. Excluye los activos fijos que utilizan normalmente otras unidades económicas de la misma empresa; los activos fijos en arrendamiento puro; las reparaciones menores de los activos fijos; los gastos por reparación y mantenimiento corriente.",Decimal,"15,3",0-999999999999999.999,
Q000B,"Depreciación total de activos fijos (millones de pesos) : Comprende la pérdida de valor durante el periodo de referencia, por el uso u obsolescencia de los activos fijos propiedad de la unidad económica.",Decimal,"15,3",0-999999999999999.999,
Q000C,"Compras totales de activos fijos (millones de pesos) : Es el monto de las adquisiciones y transferencias recibidas de activos fijos a valor actual, nuevos o usados, que durante el periodo de referencia realizó la unidad económica, sumando todas las erogaciones en que incurrió para llevar e instalar los activos fijos en la unidad económica y su puesta en funcionamiento. Incluye las mejoras, reformas y renovaciones de importancia que realizó la unidad económica en sus activos fijos para incrementar la productividad o vida útil de éstos y la producción de activos fijos para uso propio. Excluye las reparaciones y mantenimiento corriente de los activos fijos.",Decimal,"15,3",0-999999999999999.999,
Q000D,"Ventas totales de activos fijos (millones de pesos): Es el monto de las ventas realizadas durante el periodo de referencia, de los activos fijos que fueron propiedad de la unidad económica.",Decimal,"15,3",0-999999999999999.999,
Q010A,"Acervo total de maquinaria y equipo de producción (millones de pesos) : Es el valor actualizado o a costo de reposición el día 31 de diciembre del periodo de referencia, de la maquinaria y el equipo mecánico, eléctrico, computarizado o de otro tipo, propiedad de la unidad económica, vinculado directamente con sus procesos de producción, comercialización o prestación de servicios y tareas auxiliares, así como el equipo para el servicio de transporte de pasajeros y carga, la construcción, la explotación y extracción de minerales, embarcaciones, artes y equipo para la pesca y la acuicultura.",Decimal,"15,3",0-999999999999999.999,
Q020A,"Acervo total de bienes inmuebles (millones de pesos) : Es el valor actualizado a costo de reposición el día 31 de diciembre del periodo de referencia, de los edificios, locales, construcciones e instalaciones como pozos y plataformas marinas, ductos, estructuras y equipo de compresión, regulación y medición de hidrocarburos, de telecomunicaciones y otras construcciones, como plantas de tratamiento, obras de toma, líneas de conducción, propiedad de la unidad económica, que utilizó para el desarrollo de sus actividades; así como las áreas para estacionamiento, esparcimiento, áreas verdes, entre otras. Incluye el valor de los terrenos, estén o no edificados, situados en la misma ubicación física de la unidad económica.",Decimal,"15,3",0-999999999999999.999,
Q030A,"Acervo total de unidades y equipo de transporte (millones de pesos): Es el valor actualizado a costo de reposición el día 31 de diciembre del periodo de referencia, del equipo de transporte (vehículos automotores, aviones, barcos, etcétera) propiedad de la unidad económica, que utilizó para transportar personas o carga fuera de la misma. Excluye el equipo necesario para transportar o levantar carga dentro de la unidad económica.",Decimal,"15,3",0-999999999999999.999,
Q400A,"Acervo total de equipo de cómputo y periféricos (millones de pesos): Es el valor actualizado a costo de reposición del equipo de cómputo y sus periféricos, propiedad de la unidad económica, que no estaban integrados a la maquinaria y equipo de producción, como son las computadoras, redes de comunicación, impresoras, digitalizadores, entre otros. Excluye el software.",Decimal,"15,3",0-999999999999999.999,
Q900A,"Acervo total de mobiliario, equipo de oficina y otros activos fijos (millones de pesos). Es el valor actualizado o a costo de reposición del mobiliario, equipo de oficina y otros bienes de capital propiedad de la unidad económica, cuya vida útil sea mayor a un año y que proporcionaron las condiciones necesarias para realizar actividades de producción, comercialización, prestación de servicios y tareas auxiliares. ",Decimal,"15,3",0-999999999999999.999,
A112A,"Participación del valor de bienes elaborados, generados y extraídos a producción bruta total: Porcentaje del valor de los bienes que elaboró, transformó, procesó o benefició la unidad económica utilizando materias primas de su propiedad, independientemente de que hayan sido vendidos o no, respecto de la producción bruta total. Resulta de dividir el valor de productos elaborados, bienes generados y extraídos entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A113A,"Participación de los ingresos por maquilar o transformar materias primas propiedad de terceros a producción bruta total: Porcentaje de los ingresos obtenidos por la unidad económica por la fabricación, ensamble u otro tipo de transformación de las materias primas propiedad de terceros, respecto de la producción bruta total. Resulta de dividir el total de los ingresos por maquila entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A114A,"Participación de los activos fijos producidos para uso propio a producción bruta total: Porcentaje del valor de la producción de los bienes muebles e inmuebles o las mejoras que aumentan su productividad o vida útil, siempre que hayan sido realizadas por la empresa con recursos y personal propios, para ser utilizados por la misma unidad económica, valorados de acuerdo con la cantidad de materiales y mano de obra utilizada durante 2018, respecto de la producción bruta total. Resulta de dividir el valor de los activos fijos producidos para uso propio, entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A115A,"Participación de la variación de existencias de productos en proceso a producción bruta total: Porcentaje del valor en libros (saldo en el inventario inicial y final) de los productos en proceso de producción, que estaban transformándose durante las fechas señaladas, respecto de la producción bruta total. Resulta de dividir la variación de existencias de productos en proceso entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A116A,"Participación del margen por reventa de mercancías a producción bruta total: Porcentaje del diferencial que obtuvo la unidad económica entre el valor de las mercancías adquiridas para la reventa que fueron vendidas y el valor de las ventas netas de mercancías adquiridas para la reventa, considerando la variación de sus existencias, respecto de la producción bruta total. Resulta de dividir el margen por reventa de mercancías entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A117A,"Participación de la prestación de servicios profesionales, científicos y técnicos a producción bruta total: Porcentaje de los ingresos a valor de venta que obtuvo la unidad económica por la prestación de servicios profesionales, científicos y técnicos a terceros, respecto de la producción bruta total. Resulta de dividir el total de los ingresos por la prestación de servicios profesionales, científicos y técnicos entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A118A,"Participación de los ingresos por el alquiler de bienes muebles e inmuebles a producción bruta total: Porcentaje de los ingresos a valor de venta que obtuvo la unidad económica por la cesión temporal a otra razón social del derecho de uso o disfrute de los bienes muebles e inmuebles de su propiedad, respecto de la producción bruta total. Resulta de dividir el total de los ingresos por alquiler de bienes muebles e inmuebles entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A119A,"Participación de otros componentes de la producción bruta total a producción bruta total: Porcentaje del valor de los componentes de la producción bruta total que no se presentan de manera explícita, respecto de la producción bruta total. Resulta de dividir el valor de los otros componentes    de la producción bruta total entre la producción bruta total, multiplicado por 100",Decimal,"15,3",0-999999999999999.999,
A141A,"Participación de salarios y sueldosen el total de remuneraciones: Porcentaje de los pagos que realizó la unidad económica para retribuir el trabajo ordinario y extraordinario del personal dependiente de la razón social, antes de cualquier deducción retenida por los empleadores. Resulta de dividir el total de sueldos y salarios entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A143A,"Participación de los salarios al en el personal de producción, ventas y servicios en del total de remuneraciones: Porcentaje de los pagos que realizó la unidad económica para retribuir el trabajo ordinario y extraordinario del personal de producción, ventas y servicios, en el total de las remuneraciones. Resulta de dividir el total de salarios al personal de producción, ventas y servicios entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A144A,"Participación de sueldos al personal administrativo, contable y de dirección en el total de remuneraciones: Porcentaje de los pagos que realizó la unidad económica para retribuir el trabajo ordinario y extraordinario del personal administrativo, contable y de dirección, en el total de las remuneraciones. Resulta de dividir el total de sueldos al personal administrativo, contable y de dirección entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A145A,"Personal dependiente a personal ocupado total (Porcentaje). Personal contratado directamente por esta razón social, de planta y eventual y no remunerado, sea o no sindicalizado, que trabajó durante 2018 para la unidad económica, sujeto a su dirección y control, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, a personal ocupado total (personal Dependiente y No Dependiente de la razón social). Resulta de dividir el personal dependiente de la razón social (hombres y mujeres) entre el personal ocupado total (hombres y mujeres), multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A146A,"Personal no remunerado a perasonal ocupado total: Personas que trabajaron bajo la dirección y control de la unidad económica, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, sin recibir un sueldo o salario fijo de forma periódica, a personal ocupado total. Resulta de dividir el número de los propietarios, familiares y otros trabajadores no remunerados (hombres y mujeres), entre el personal ocupado total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A147A,"Personal no remunerado a personal ocupado dependiente : Personas que trabajaron bajo la dirección y control de la unidad económica, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, sin recibir un sueldo o salario fijo de forma periódica, a personal ocupado dependiente de la razón social. Resulta de dividir el número de los propietarios, familiares y otros trabajadores no remunerados (hombres y mujeres), entre el personal dependiente de la razón social (hombres y mujeres), multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A148A,"Prestaciones sociales y utilidades repartidas en el total de remuneraciones: Porcentaje de todas las aportaciones patronales a instituciones de seguridad social, así como los pagos a instituciones privadas en beneficio de los trabajadores remunerados, además de los pagos en efectivo que la unidad económica distribuyó entre el personal, antes de cualquier deducción, por concepto de utilidades, en el total de las remuneraciones. Resulta de dividir el total de las prestaciones sociales y utilidades repartidas entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A149A,"Participación de las utilidades repartidas a los trabajadoresen el total de remuneraciones: Porcentaje de los pagos en efectivo que la unidad económica distribuyó entre el personal, antes de cualquier deducción, por concepto de utilidades, en el total de las remuneraciones. Resulta de dividir el total de las utilidades repartidas a los trabajadores entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A151A,"Participación de las mujeres en el total de personal remunerado: Mujeres que trabajaron durante el período de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica, al total de personal remunerado. Resulta de dividir el número de mujeres del personal remunerado entre el total del personal remunerado, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A152A,"Participación de las mujeres en el total de personal ocupado en producción, ventas y servicios.: Mujeres que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por su participación en las actividades de producción, comercialización o prestación de servicios, al total del personal en producción, ventas y servicios. Resulta de dividir el número de mujeres del personal de producción, ventas y servicios entre el total del personal de producción, ventas y servicios, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A153A,"Participación de las mujeres en el total de personal ocupado administrativo, contable y de dirección: Mujeres que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por desempeñar labores generales de oficina, así como de contabilidad, ejecutivas de planeación, organización, dirección y control para la unidad económica, al total del personal administrativo, contable y de dirección. Resulta de dividir el número de mujeres del personal administrativo, contable y de dirección entre el total del personal administrativo, contable y de dirección, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A154A,"Prestaciones sociales a total de remuneraciones : Todas las aportaciones patronales a instituciones de seguridad social, en beneficio de los trabajadores remunerados dependientes de la razón social; así como los pagos que hizo a instituciones privadas o que otorgó directamente en especie a los trabajadores, en complemento o adición a los sueldos y salarios, al total de remuneraciones de la empresa. Resulta de dividir la suma de las contribuciones patronales a regímenes de seguridad social más otras prestaciones sociales,      entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A155A,"Participación de las prestaciones sociales y utilidades en los sueldos y salarios : Todas las aportaciones patronales a instituciones de seguridad social, en beneficio de los trabajadores remunerados dependientes de la razón social; así como los pagos que hizo a instituciones privadas o que otorgó directamente en especie a los trabajadores, en complemento o adición a los sueldos y salarios, respecto de los sueldos y salarios otorgados a los trabajadores de la unidad económica. Resulta de sumar las contribuciones patronales a regímenes de seguridad social más otras prestaciones sociales más las utilidades repartidas a los trabajadores y el resultado dividirlo entre el total de sueldos y salarios, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A156A,"Participación de las mujeres en el total de propietarios, familiares y otros trabajadores no remunerados: Mujeres que trabajaron bajo la dirección y control de la unidad económica, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, sin recibir un sueldo o salario fijo de forma periódica, respecto del total de propietarios, familiares y otros trabajadores no remunerados. Resulta de dividir el número de mujeres pertenecientes a propietarios, familiares y otros trabajadores no remunerados entre el total de propietarios, familiares y otros trabajadores no remunerados, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A157A,"Total de Prestaciones a Salarios y sueldos: Participación de las prestaciones sociales derivadas de las aportaciones patronales a instituciones de seguridad social, así como los pagos que hizo a instituciones privadas o que otorgó directamente en especie a los trabajadores remunerados, respecto al total de salarios y sueldos. Resulta de dividir las prestaciones sociales entre el total de sueldos y salarios, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A158A,"Participación de las mujeres en el total del personal contratado y proporcionado por otra razón social.: Mujeres que trabajaron durante el 2018 para la unidad económica, pero que dependían contractualmente de otra razón social, lo cual incluye el personal suministrado por el grupo corporativo o el personal de otra empresa del mismo corporativo, al total del personal contratado y proporcionado por otra razón social. Resulta de dividir el número de mujeres del personal que trabajó en esta unidad económica contratado y proporcionado por otra razón social entre el total del personal que trabajó en esta unidad económica contratado y proporcionado por otra razón social, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A159A,"Participación de las mujeres en el total del personal por honorarios o comisiones sin sueldo o salario fijo.: Mujeres que laboraron por cuenta propia para la unidad económica y que cobraron exclusivamente con base en honorarios o comisiones, al total del personal por honorarios o comisiones sin sueldo o salario fijo. Resulta de dividir el número de mujeres del personal por honorarios o comisiones sin sueldo o salario fijo entre el total del personal por honorarios o comisiones sin sueldo o salario fijo, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A171A,"Remuneración media por persona ocupada remunerada: Pagos y aportaciones, en dinero y especie, antes de cualquier deducción, que recibió en promedio cada persona remunerada durante 2018. Resulta de dividir el monto de las remuneraciones pagadas al personal remunerado que depende de la razón social, entre el total de personal ocupado remunerado.",Decimal,"15,3",0-999999999999999.999,
A173A,"Salario al personal operativo anual: Promedio anual, en pesos, de salarios al personal de producción, ventas y servicios por persona ocupada en la producción, ventas y servicios, durante el periodo censal. Resulta de dividir el total de salarios al personal de producción, ventas y servicios entre el total del personal de producción, ventas y servicios, multiplicado por 1000.",Decimal,"15,3",0-999999999999999.999,
A174A,"Sueldo al personal administrativo anual: Promedio anual, en pesos, de sueldos al personal administrativo, contable y de dirección por persona ocupada en el personal administrativo, contable y de dirección, durante el periodo censal. Resulta de dividir el total de sueldos al personal administrativo, contable y de dirección entre el personal administrativo, contable y de dirección, multiplicado por 1000.",Decimal,"15,3",0-999999999999999.999,
A175A,"Pagos promedio por persona suministrada: Personas que trabajaron durante el 2018 para la unidad económica, pero que dependían contractualmente de otra razón social, lo cual incluye al personal suministrado por el grupo corporativo o al personal de otra empresa del mismo corporativo. Resulta de dividir los pagos a otra razón social que contrató y le proporcionó personal a esta unidad económica entre la suma de hombres y mujeres del personal que trabajó en esta unidad económica contratado y proporcionado por otra razón social, multiplicado por 1000.",Decimal,"15,3",0-999999999999999.999,
A176A,"Pagos promedio por personal a comisiones u honorarios : Trabajadores que laboraron por cuenta propia para la unidad económica y que cobraron exclusivamente con base en honorarios o comisiones. Resulta de dividir los gastos por honorarios o comisiones sin sueldo o salario fijo entre la suma de hombres y mujeres del personal por honorarios o comisiones sin sueldo o salario fijo, multiplicado por 1000.",Decimal,"15,3",0-999999999999999.999,
A177A,"Participación de las remuneraciones en los gastos por consumo de bienes y servicios: Porcentaje de las remuneraciones en los gastos totales de la unidad económica. Resulta de dividir las remuneraciones totales entre los gastos por consumo de bienes y servicios, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A179A,"Personal no dependiente a personal ocupado total: Personas que trabajaron para la unidad económica durante 2018, pero que dependían contractualmente de otra razón social y realizaron labores ligadas con la producción, comercialización, prestación de servicios, administración y contabilidad, entre otras, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, a personal ocupado total. Resulta de dividir el total de personas que trabajaron para la unidad económica pero que dependían contractualmente de otra razón social entre el personal ocupado total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A181A,"Indemnizaciones y liquidaciones a remuneraciones totales: Compensación monetaria que se otorgó a los trabajadores por concepto de despido, retiro o terminación de contrato laboral con la unidad económica, a remuneraciones totales. Resulta de dividir las indemnizaciones o liquidaciones al personal entre las remuneraciones totales, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A182A,"Remuneración media por persona remunerada: Pagos y aportaciones normales y extraordinarias, en dinero y especie, antes de cualquier deducción, para retribuir el trabajo del personal dependiente de la razón social, en forma de salarios y sueldos, prestaciones sociales y utilidades repartidas al personal. Resulta de dividir el total de remuneraciones entre el total de personal remunerado y el resultado se divide entre los días trabajados y se multiplica por 1000.",Decimal,"15,3",0-999999999999999.999,
A192A,"Horas diarias trabajadas en promedio por el personal remunerado: Promedio de horas trabajadas en 2018 por el personal ocupado remunerado; comprende las horas normales y extraordinarias dedicadas a las actividades. Resulta de dividir el total de horas laboradas por el personal remunerado de la empresa, multiplicado por 1000, entre el total del personal dependiente de la razón social, dividiendo todo lo anterior entre el total de días trabajados en la unidad económica durante 2018.",Decimal,"15,3",0-999999999999999.999,
A193A,"Horas diarias trabajadas en promedio por el personal no remunerado: Promedio de horas trabajadas en 2018 por los propietarios, familiares y otro personal no remunerado; comprende las horas normales y extraordinarias dedicadas a las actividades. Resulta de dividir el total de horas laboradas por los propietarios, familiares y otros trabajadores no remunerados, multiplicado por 1000, entre el total de propietarios, familiares y otros trabajadores no remunerados (hombres y mujeres), dividiendo todo lo anterior entre el total de días trabajados en la unidad económica durante 2018.",Decimal,"15,3",0-999999999999999.999,
A194A,"Horas diarias trabajadas en promedio por el personal de producción, ventas y servicios: Promedio de horas trabajadas en 2018 por el personal de producción, ventas y servicios; comprende las horas normales y extraordinarias dedicadas a las actividades. Resulta de dividir el total de horas laboradas por el personal de producción, ventas y servicios, multiplicado por 1000, entre el total del personal de producción, ventas y servicios, dividiendo todo lo anterior entre el total de días trabajados en la unidad económica durante 2018.",Decimal,"15,3",0-999999999999999.999,
A195A,"Horas diarias trabajadas en promedio por los empleados administrativos y de control: Promedio de horas trabajadas en 2018 por el personal administrativo, contable y de dirección; comprende las horas normales y extraordinarias dedicadas a las actividades. Resulta de dividir el total de horas laboradas por el personal administrativo, contable y de dirección, multiplicado por 1000, entre el total del personal administrativo, contable y de dirección, dividiendo todo lo anterior entre el total de días trabajados en la unidad económica durante 2018.",Decimal,"15,3",0-999999999999999.999,
A197A,"Horas diarias trabajadas en promedio por el personal por comisiones y honorarios: Promedio de horas trabajadas en 2018 por el personal ocupado por honorarios o comisiones; comprende las horas normales y extraordinarias dedicadas a las actividades. Resulta de dividir el total de horas laboradas por el personal ocupado por honorarios o comisiones, multiplicado por 1000, entre el total del personal ocupado por honorarios o comisiones, dividiendo todo lo anterior entre el total de días trabajados en la unidad económica durante 2018.",Decimal,"15,3",0-999999999999999.999,
A201A,"Valor agregado censal bruto a producción bruta total : Porcentaje del valor de la producción que se añade durante el proceso de trabajo por la actividad creadora y de transformación realizada por el personal ocupado, el capital y la organización (factores de la producción), ejercida sobre los materiales que se consumen en la realización de la actividad económica, respecto del valor de todos los bienes y servicios producidos o comercializados por la unidad económica como resultado del ejercicio de sus actividades.",Decimal,"15,3",0-999999999999999.999,
A202A,"Participación del consumo intermedio en la producción bruta total: Porcentaje de la contribución de los insumos utilizados para generar bienes y servicios en el valor de la producción bruta total. Resulta de dividir el consumo intermedio entre la producción bruta total, multiplicado por 100.",Decimal,"15,3",0-999999999999999.999,
A204A,"Valor agregado en promedio por persona ocupada: Valor adicional que en promedio generó cada persona ocupada a la producción, durante cada etapa del proceso de trabajo. Resulta de dividir el valor agregado entre el personal ocupado total.",Decimal,"15,3",0-999999999999999.999,
